,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
0,Brazil,Sitio Rancho Dantas,Florentino Meneguetti,Cereja Descascado,,Nestlé Brasil S/A,780,Montanhas Capixabas,Florentino Meneguetti,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,8.25,8.5,8.58,8.5,8.5,8.33,10.0,10.0,10.0,8.58,0.0,89.25,10 %,0 full defects,0,Bluish-Green,5 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Ethiopia,Honey Drip,1,non,,宸嶧國際有限公司,2219,Ethiopia,Honey Dip,37,20 kg,Japan Coffee Exchange,2020,"July 14th, 2020",Blossom Valley International,Ethiopian Heirlooms,Completed,Other,8.25,8.25,7.92,8.42,7.92,8.08,10.0,10.0,10.0,8.33,0.0,87.17,11 %,0 full defects,3,Green,4 full defects,,"July 14th, 2021",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
0,Brazil,Fazenda Horizonte,Pedro Marques de Souza,Cereja Descascado,,Nestlé Brasil S/A,1280,Chapada Diamantina,Pedro Marques de Souza,3,180 kg,Brazil Specialty Coffee Association,2019,"October 2nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,7.92,8.17,8.17,8.25,8.08,8.08,10.0,10.0,10.0,8.08,0.0,86.75,12 %,0 full defects,2,,0 full defects,,"October 1st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Ethiopia,non,1,non,E0205,宸嶧國際有限公司,2100,Ethiopia Sidamo Guji Uraga Adola,non,200,30 kg,Japan Coffee Exchange,2020,"July 14th, 2020",Blossom Valley International,Other,Completed,Washed / Wet,8.25,8.17,7.92,8.17,7.83,8.0,10.0,10.0,10.0,8.25,0.0,86.58,12 %,0 full defects,1,Green,3 full defects,,"July 14th, 2021",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
0,Brazil,Sitio Alto Liberdade,Luciano Pimenta,Cereja Descascado,,Nestlé Brasil S/A,1180,Montanhas Capixabas,Luciano Pimenta,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,8.17,7.92,8.0,8.17,8.25,8.08,10.0,10.0,10.0,8.0,0.0,86.58,10 %,0 full defects,0,Bluish-Green,2 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Brazil,Sítio Forquilha do Rio,Fábio Protasio de Abreu,Cereja Descascado,,Nestlé Brasil S/A,1300,Caparaó,Fábio Protasio de Abreu,5,300 kg,Brazil Specialty Coffee Association,2018,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,7.83,8.0,8.0,8.08,8.08,8.17,10.0,10.0,10.0,8.17,0.0,86.33,11 %,0 full defects,0,Bluish-Green,1 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Ethiopia,local farm,14,Hulling,010/0240/0002,Al-Impex Business plc,2000,Dila,Alemayehue Gume,300,60 kg,METAD Agricultural Development plc,2019,"June 29th, 2020",Al-impex Business plc,Ethiopian Yirgacheffe,Completed,Washed / Wet,8.0,8.0,8.0,8.08,8.0,8.0,10.0,10.0,10.0,8.17,0.0,86.25,10 %,0 full defects,0,Blue-Green,0 full defects,,"June 29th, 2021",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
0,Brazil,Sítio São Domingos Moinho Grande,Sebastiana de Oliveira Faria,Cereja Descascado,,Nestlé Brasil S/A,1300,Caparaó,Sebastiana de Oliveira Faria,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,7.92,8.08,7.83,7.92,7.92,8.0,10.0,10.0,10.0,8.08,0.0,85.75,11 %,0 full defects,0,Bluish-Green,0 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Brazil,Fazenda Édio Miranda,Maria Aparecida Milagres Miranda,Cereja Descascado,,Nestlé Brasil S/A,1244,Matas de Minas,Maria Aparecida Milagres Miranda,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,7.92,8.08,7.92,8.0,7.83,7.92,10.0,10.0,10.0,8.08,0.0,85.75,12 %,0 full defects,0,Bluish-Green,1 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Ethiopia,Local Farmer,14,Hulling,010/0240/0002,Al-Impex Business plc,1994,Dila,Alemayehue Mesfin,300,60 kg,METAD Agricultural Development plc,2019,"June 13th, 2020",Al-impex Business plc,Ethiopian Yirgacheffe,Completed,Washed / Wet,8.0,8.0,7.83,8.0,8.0,8.0,10.0,10.0,10.0,7.83,0.0,85.67,10 %,0 full defects,0,Green,7 full defects,,"June 13th, 2021",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
