"","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects"
"1","Brazil","Sitio Rancho Dantas","Cereja Descascado","Nestlé Brasil S/A",780,"Montanhas Capixabas","Florentino Meneguetti",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",8.25,8.5,8.58,8.5,8.5,8.33,10,10,10,8.58,89.25,0.1,"0",0,"Bluish-Green","5"
"2","Ethiopia","Honey Drip","non","<U+5BB8><U+5DA7><U+570B><U+969B><U+6709><U+9650><U+516C><U+53F8>",2219,"Ethiopia","Honey Dip",37,"20 kg","Japan Coffee Exchange","2020","July 14th, 2020","Blossom Valley International","Ethiopian Heirlooms","Other",8.25,8.25,7.92,8.42,7.92,8.08,10,10,10,8.33,87.17,0.11,"0",3,"Green","4"
"3","Brazil","Fazenda Horizonte","Cereja Descascado","Nestlé Brasil S/A",1280,"Chapada Diamantina","Pedro Marques de Souza",3,"180 kg","Brazil Specialty Coffee Association","2019","October 2nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.92,8.17,8.17,8.25,8.08,8.08,10,10,10,8.08,86.75,0.12,"0",2,NA,"0"
"4","Ethiopia","non","non","<U+5BB8><U+5DA7><U+570B><U+969B><U+6709><U+9650><U+516C><U+53F8>",2100,"Ethiopia Sidamo Guji Uraga Adola","non",200,"30 kg","Japan Coffee Exchange","2020","July 14th, 2020","Blossom Valley International","Other","Washed / Wet",8.25,8.17,7.92,8.17,7.83,8,10,10,10,8.25,86.58,0.12,"0",1,"Green","3"
"5","Brazil","Sitio Alto Liberdade","Cereja Descascado","Nestlé Brasil S/A",1180,"Montanhas Capixabas","Luciano Pimenta",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",8.17,7.92,8,8.17,8.25,8.08,10,10,10,8,86.58,0.1,"0",0,"Bluish-Green","2"
"6","Brazil","Sítio Forquilha do Rio","Cereja Descascado","Nestlé Brasil S/A",1300,"Caparaó","Fábio Protasio de Abreu",5,"300 kg","Brazil Specialty Coffee Association","2018","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.83,8,8,8.08,8.08,8.17,10,10,10,8.17,86.33,0.11,"0",0,"Bluish-Green","1"
"7","Ethiopia","local farm","Hulling","Al-Impex Business plc",2000,"Dila","Alemayehue Gume",300,"60 kg","METAD Agricultural Development plc","2019","June 29th, 2020","Al-impex Business plc","Ethiopian Yirgacheffe","Washed / Wet",8,8,8,8.08,8,8,10,10,10,8.17,86.25,0.1,"0",0,"Blue-Green","0"
"8","Brazil","Sítio São Domingos Moinho Grande","Cereja Descascado","Nestlé Brasil S/A",1300,"Caparaó","Sebastiana de Oliveira Faria",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.92,8.08,7.83,7.92,7.92,8,10,10,10,8.08,85.75,0.11,"0",0,"Bluish-Green","0"
"9","Brazil","Fazenda Édio Miranda","Cereja Descascado","Nestlé Brasil S/A",1244,"Matas de Minas","Maria Aparecida Milagres Miranda",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.92,8.08,7.92,8,7.83,7.92,10,10,10,8.08,85.75,0.12,"0",0,"Bluish-Green","1"
"10","Ethiopia","Local Farmer","Hulling","Al-Impex Business plc",1994,"Dila","Alemayehue Mesfin",300,"60 kg","METAD Agricultural Development plc","2019","June 13th, 2020","Al-impex Business plc","Ethiopian Yirgacheffe","Washed / Wet",8,8,7.83,8,8,8,10,10,10,7.83,85.67,0.1,"0",0,"Green","7"
"11","Brazil","Fazenda Jardim das Oliveiras","Cereja Descascado","Nestlé Brasil S/A",1244,"Matas de Minas","Simone Sampaio",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.92,7.92,7.83,8,7.92,8,10,10,10,7.92,85.5,0.11,"0",0,"Bluish-Green","0"
"12","Brazil","Fazenda Serra do São Bento","Cereja Descascado","Nestlé Brasil S/A",1244,"Matas de Minas","Dimas Mendes Bastos",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.75,8.08,8,8,7.92,7.83,10,10,10,7.92,85.5,0.11,"0",0,"Bluish-Green","5"
"13","Ethiopia","none","non","<U+5BB8><U+5DA7><U+570B><U+969B><U+6709><U+9650><U+516C><U+53F8>",1800,"Ethiopia Yirgacheffe","none",35,"30 kg","Japan Coffee Exchange","2020","July 14th, 2020","Blossom Valley International","Ethiopian Heirlooms","Washed / Wet",8.17,8,7.67,8,7.75,7.83,10,10,10,8,85.42,0.11,"0",0,"Green","2"
"14","Brazil","Fazenda Baú I","Natural","Nestlé Brasil S/A",1006,"Mogiana","Versi Crivelenti Ferrero",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Natural / Dry",7.83,8,8,7.75,7.83,7.92,10,10,10,7.92,85.25,0.11,"0",0,"Bluish-Green","2"
"15","Brazil","CACHOEIRA DA GRAMA FARM","DRY MILL","BOURBON SPECIALTY COFFEES",1100,"Grama Valley","GABRIEL CARVALHO DIAS",300,"59 kg","Brazil Specialty Coffee Association","2019 / 2020","September 22nd, 2019","BOURBON SPECIALTY COFFEES","Bourbon","Pulped natural / honey",7.92,7.83,7.83,7.92,7.92,7.83,10,10,10,8,85.25,0.11,"0",0,"Bluish-Green","3"
"16","Honduras","LA GUAMA","BON CAFE S.A.","Bon cafe s.a",1450,"LA PAZ","NAHUN EDGARDO FLORES GAMEZ.",250,"69 kg","Instituto Hondureño del Café","2019","May 22nd, 2020","Marco tulio fuentes lobo","Catuai","Washed / Wet",7.92,7.92,7.75,7.92,7.92,7.83,10,10,10,7.92,85.17,0.09,"0",0,"Green","1"
"17","Uganda","Kawacom Sipi Project","Kawacom Uganda Limted","Kawacom uganda LTD",1790,"Eastern Uganda","Kawacom Sipi Project",300,"60 kg","Uganda Coffee Development Authority","2019","May 29th, 2020","Kawacom Uganda LTD","SL28","Washed / Wet",7.83,8.08,7.92,7.67,7.83,7.75,10,10,10,8,85.08,0.1,"0",0,"Green","0"
